taxa	average
CML322	78.6875
NC232	78.75
DE811	78.7777777777778
KY226	78.7857142857143
NC368	78.9375
Va22	78.9375
CI64	79.1111111111111
U267Y	79.3
33-16	79.3333333333333
NC346	79.375
KY228	79.3888888888889
CML154Q	79.4375
CML333	79.5
E2558W	79.5
Ki43	79.5
I137TN	79.5833333333333
NC348	79.6666666666667
NC296A	79.8125
A441-5	79.8333333333333
NC290A	79.9285714285714
NC230	80.1111111111111
CI31A	80.2777777777778
NC356	80.2777777777778
CI.7	80.3333333333333
CML311	80.3333333333333
NC258	80.3888888888889
T234	80.3888888888889
Oh603	80.4
T232	80.4375
B68	80.5
NC318	80.5555555555556
NC320	80.6111111111111
NC340	80.625
NC350	80.6666666666667
Tzi16	80.7777777777778
CML331	80.8
NC236	80.9375
NC354	80.9375
K64	80.9444444444444
Tzi25	80.9444444444444
CML287	81
CML103	81.0555555555556
K4	81.3333333333333
NC360	81.3333333333333
Ki3	81.375
Ky21	81.375
Tx303	81.5
Tzi8	81.75
NC300	81.7857142857143
NC296	82.1111111111111
CML332	82.25
CML323	82.3333333333333
CML328	82.3571428571429
OH7B	82.5714285714286
CI187-2	82.875
CML341	83
M162W	83.125
Tzi11	83.375
CI90C	83.3888888888889
SC357	83.3888888888889
Tzi18	83.5625
CML10	83.6666666666667
Ki21	83.6875
SC55	83.7857142857143
NC33	83.9444444444444
CML5	84.1666666666667
CML157Q	84.3333333333333
CML91	84.3888888888889
Tzi10	84.5
L578	84.5625
CML277	84.5833333333333
Tzi9	84.8333333333333
GT112	84.8571428571429
CML108	85
F44	85.0555555555556
NC222	85.1428571428571
CML14	85.25
Ki14	85.4
CML92	85.4285714285714
NC366	85.4285714285714
GA209	85.5
NC336	85.7222222222222
Mo18W	85.8333333333333
NC352	85.8333333333333
Ki2021	85.875
NC238	86
CI66	86.2857142857143
CML218	86.3125
CML228	86.3333333333333
NC338	86.375
A6	86.5714285714286
CML314	86.6875
CML158Q	86.75
CML238	86.8571428571429
CML38	87.0714285714286
A214N	87.2777777777778
NC298	87.2857142857143
CML69	87.6666666666667
Ki44	87.6875
F6	87.75
Ki11	87.8571428571429
CML261	88.1666666666667
Tx601	88.6666666666667
Ab28A	88.75
Hi27	89.3888888888889
CML11	89.5
CML281	89.5
CML52	89.5
CML45	90.125
D940Y	90.125
CML321	90.7857142857143
CML258	90.875
CML247	91.4285714285714
SC213R	92.1666666666667
CML61	92.3333333333333
CML254	93.25
CML264	93.25
B73_Mo17	NA
MO044	NA
MO054	NA
Mo17_B73	NA
